#Data tag : 24v1 , Norm tag: composite
+-------------+-------------------+------+--------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                  | delivered(/fb) | recorded(/fb) |
| 302043:6147 | 08/30/17 21:35:17 | 228  | DST_HT410_PFScouting_v11 | 0.021191557    | 0.020761524   |
| 302131:6152 | 08/31/17 14:32:49 | 873  | DST_HT410_PFScouting_v11 | 0.114100110    | 0.111634653   |
| 302159:6155 | 09/01/17 02:37:45 | 108  | DST_HT410_PFScouting_v11 | 0.016991342    | 0.016076609   |
| 302163:6156 | 09/01/17 05:33:23 | 1189 | DST_HT410_PFScouting_v11 | 0.151386199    | 0.146312058   |
| 302165:6156 | 09/01/17 13:25:29 | 80   | DST_HT410_PFScouting_v11 | 0.007239511    | 0.006889986   |
| 302166:6156 | 09/01/17 13:58:48 | 16   | DST_HT410_PFScouting_v11 | 0.001543379    | 0.001518820   |
| 302225:6158 | 09/01/17 20:41:42 | 868  | DST_HT410_PFScouting_v11 | 0.117430288    | 0.114788470   |
| 302228:6159 | 09/02/17 05:31:11 | 234  | DST_HT410_PFScouting_v11 | 0.039717461    | 0.038240724   |
| 302229:6159 | 09/02/17 07:05:33 | 457  | DST_HT410_PFScouting_v11 | 0.069211592    | 0.067570786   |
| 302240:6160 | 09/02/17 12:53:49 | 960  | DST_HT410_PFScouting_v11 | 0.141917734    | 0.138868374   |
| 302262:6161 | 09/03/17 05:32:01 | 428  | DST_HT410_PFScouting_v11 | 0.078833217    | 0.075969816   |
| 302263:6161 | 09/03/17 08:21:33 | 1250 | DST_HT410_PFScouting_v11 | 0.168935530    | 0.165383267   |
| 302277:6165 | 09/04/17 00:44:53 | 372  | DST_HT410_PFScouting_v11 | 0.055365409    | 0.053761113   |
| 302279:6165 | 09/04/17 09:35:57 | 70   | DST_HT410_PFScouting_v11 | 0.006381986    | 0.005862909   |
| 302280:6165 | 09/04/17 10:06:51 | 152  | DST_HT410_PFScouting_v11 | 0.012808800    | 0.012611393   |
| 302322:6167 | 09/04/17 19:43:03 | 838  | DST_HT410_PFScouting_v11 | 0.099513483    | 0.096870474   |
| 302328:6168 | 09/05/17 03:49:04 | 681  | DST_HT410_PFScouting_v11 | 0.096130173    | 0.093450403   |
| 302337:6169 | 09/05/17 11:16:54 | 127  | DST_HT410_PFScouting_v11 | 0.022010484    | 0.020376770   |
| 302342:6169 | 09/05/17 12:22:40 | 54   | DST_HT410_PFScouting_v11 | 0.009166992    | 0.006933228   |
| 302343:6169 | 09/05/17 12:52:16 | 97   | DST_HT410_PFScouting_v11 | 0.015871197    | 0.015318244   |
| 302344:6169 | 09/05/17 13:33:14 | 480  | DST_HT410_PFScouting_v11 | 0.070481221    | 0.068798124   |
| 302350:6169 | 09/05/17 17:02:18 | 136  | DST_HT410_PFScouting_v11 | 0.016753059    | 0.016492993   |
| 302388:6170 | 09/05/17 20:47:02 | 685  | DST_HT410_PFScouting_v11 | 0.130525792    | 0.126263558   |
| 302392:6171 | 09/06/17 03:57:37 | 355  | DST_HT410_PFScouting_v11 | 0.079098757    | 0.074911826   |
| 302393:6171 | 09/06/17 06:19:09 | 887  | DST_HT410_PFScouting_v11 | 0.160742391    | 0.157322303   |
| 302472:6175 | 09/07/17 13:26:58 | 781  | DST_HT410_PFScouting_v11 | 0.161048569    | 0.154748577   |
| 302473:6175 | 09/07/17 18:32:57 | 368  | DST_HT410_PFScouting_v11 | 0.062080006    | 0.060432748   |
| 302474:6175 | 09/07/17 21:17:17 | 305  | DST_HT410_PFScouting_v11 | 0.045529150    | 0.043413267   |
| 302475:6175 | 09/07/17 23:17:58 | 2    | DST_HT410_PFScouting_v11 | 0.000283688    | 0.000099576   |
| 302476:6175 | 09/07/17 23:22:33 | 259  | DST_HT410_PFScouting_v11 | 0.034366510    | 0.033417297   |
| 302479:6176 | 09/08/17 03:19:43 | 309  | DST_HT410_PFScouting_v11 | 0.071561951    | 0.068380572   |
| 302484:6177 | 09/08/17 08:07:18 | 169  | DST_HT410_PFScouting_v11 | 0.038848834    | 0.036414086   |
| 302485:6177 | 09/08/17 09:17:25 | 922  | DST_HT410_PFScouting_v11 | 0.179207049    | 0.173348266   |
| 302492:6177 | 09/08/17 15:49:02 | 44   | DST_HT410_PFScouting_v11 | 0.006976952    | 0.006787591   |
| 302493:6177 | 09/08/17 16:09:59 | 2    | DST_HT410_PFScouting_v11 | 0.000313803    | 0.000141710   |
| 302494:6177 | 09/08/17 16:13:24 | 618  | DST_HT410_PFScouting_v11 | 0.088321294    | 0.086352322   |
| 302509:6179 | 09/09/17 01:12:14 | 20   | DST_HT410_PFScouting_v12 | 0.005151813    | 0.004987040   |
| 302513:6180 | 09/09/17 04:18:36 | 53   | DST_HT410_PFScouting_v12 | 0.013229522    | 0.012202645   |
| 302522:6182 | 09/09/17 09:21:36 | 12   | DST_HT410_PFScouting_v12 | 0.002340249    | 0.000508555   |
| 302523:6182 | 09/09/17 09:29:07 | 54   | DST_HT410_PFScouting_v12 | 0.012633287    | 0.010748271   |
| 302525:6182 | 09/09/17 09:58:46 | 702  | DST_HT410_PFScouting_v12 | 0.139781172    | 0.134813248   |
| 302526:6182 | 09/09/17 15:00:58 | 582  | DST_HT410_PFScouting_v12 | 0.090482648    | 0.088305524   |
| 302548:6185 | 09/10/17 03:59:07 | 81   | DST_HT410_PFScouting_v12 | 0.017592499    | 0.015739562   |
| 302551:6185 | 09/10/17 04:41:42 | 6    | DST_HT410_PFScouting_v12 | 0.001316382    | 0.000103949   |
| 302553:6185 | 09/10/17 04:50:55 | 187  | DST_HT410_PFScouting_v12 | 0.038859434    | 0.037036843   |
| 302554:6185 | 09/10/17 06:05:18 | 3    | DST_HT410_PFScouting_v12 | 0.000595511    | 0.000091438   |
| 302555:6185 | 09/10/17 06:09:27 | 11   | DST_HT410_PFScouting_v12 | 0.002176059    | 0.001909607   |
| 302563:6186 | 09/10/17 09:12:18 | 7    | DST_HT410_PFScouting_v12 | 0.001439095    | 0.000320075   |
| 302565:6186 | 09/10/17 09:21:03 | 3    | DST_HT410_PFScouting_v12 | 0.000697430    | 0.000149416   |
| 302572:6186 | 09/10/17 10:51:54 | 281  | DST_HT410_PFScouting_v12 | 0.055772492    | 0.053765298   |
| 302573:6186 | 09/10/17 12:44:44 | 1249 | DST_HT410_PFScouting_v12 | 0.192171178    | 0.187919165   |
| 302596:6189 | 09/11/17 05:28:46 | 920  | DST_HT410_PFScouting_v12 | 0.179019317    | 0.173172028   |
| 302597:6189 | 09/11/17 11:35:10 | 1054 | DST_HT410_PFScouting_v12 | 0.148097116    | 0.145123420   |
| 302634:6191 | 09/12/17 03:21:56 | 582  | DST_HT410_PFScouting_v12 | 0.122604174    | 0.116389673   |
| 302635:6191 | 09/12/17 07:18:01 | 1252 | DST_HT410_PFScouting_v12 | 0.189629660    | 0.184469238   |
| 302651:6192 | 09/12/17 18:37:00 | 146  | DST_HT410_PFScouting_v12 | 0.033277800    | 0.030035338   |
| 302654:6192 | 09/12/17 19:38:00 | 317  | DST_HT410_PFScouting_v12 | 0.065600498    | 0.063967438   |
| 302661:6193 | 09/13/17 00:27:07 | 67   | DST_HT410_PFScouting_v12 | 0.014158063    | 0.009465408   |
| 302663:6193 | 09/13/17 01:00:30 | 706  | DST_HT410_PFScouting_v12 | 0.137829628    | 0.134253685   |
| 303825:6239 | 09/24/17 09:38:22 | 180  | DST_HT410_PFScouting_v12 | 0.023267728    | 0.022834484   |
| 303832:6240 | 09/24/17 13:12:03 | 1857 | DST_HT410_PFScouting_v12 | 0.330988230    | 0.321325968   |
| 303838:6241 | 09/25/17 03:48:14 | 1963 | DST_HT410_PFScouting_v12 | 0.392733747    | 0.380035365   |
| 303885:6243 | 09/25/17 21:09:18 | 1993 | DST_HT410_PFScouting_v12 | 0.415750493    | 0.400159045   |
| 303948:6245 | 09/26/17 14:47:20 | 1624 | DST_HT410_PFScouting_v12 | 0.366223327    | 0.351609948   |
| 303998:6247 | 09/27/17 09:04:50 | 262  | DST_HT410_PFScouting_v12 | 0.079268301    | 0.073026071   |
| 303999:6247 | 09/27/17 10:51:42 | 747  | DST_HT410_PFScouting_v12 | 0.179784101    | 0.172738813   |
